id,Protein names,Gene names,STY_30m_med,STY_4h_med
1794,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,1.0789,1.0350899999999998
1795,Aurora kinase A,AURKA,1.1011250000000001,1.331325
1796,Ras-related protein Rab-7L1,RAB29,1.2394500000000002,1.4365
1797,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,1.5640749999999999,1.14255
1798,Cyclin-G-associated kinase,GAK,1.13185,1.0255
1799,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,1.150755,1.095995
1800,Exportin-1,XPO1,0.9684524999999999,0.9970825
1802,"Spectrin beta chain, non-erythrocytic 2",SPTBN2,1.04357,0.9645724999999999
1803,Plexin-B2,PLXNB2,0.903965,0.9809975
1804,U2 snRNP-associated SURP motif-containing protein,U2SURP,0.8968225000000001,0.981155
1805,Histone-lysine N-methyltransferase SETD1A,SETD1A,0.9708300000000001,1.1435625
1806,Synaptojanin-2,SYNJ2,1.1931,1.135865
1807,Synemin,SYNM,1.012205,1.0458125
1808,"Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed;Kinesin-like protein;Kinesin-like protein KIF3C",KIF3B;KIF3C,1.2214749999999999,1.21715
1809,Phosphoribosylformylglycinamidine synthase,PFAS,0.94658,0.9592149999999999
1811,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,1.0158274999999999,1.3406250000000002
1812,Rho guanine nucleotide exchange factor 11,ARHGEF11,1.0452750000000002,1.0480975
1813,Mitochondrial ribonuclease P protein 3,KIAA0391,1.2094,1.0384950000000002
1814,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK,1.0715,NA
1815,U6 snRNA-associated Sm-like protein LSm1,LSM1,0.96246,0.9868775000000001
1816,Niemann-Pick C1 protein,NPC1,1.126175,0.940375
1817,Sphingolipid delta(4)-desaturase DES1,DEGS1,1.128525,1.1354
1818,Secretory carrier-associated membrane protein 1,SCAMP1,1.3737,1.199205
1819,Secretory carrier-associated membrane protein 2,SCAMP2,1.1963,0.9545575
1820,Actin-related protein 2/3 complex subunit 1B,ARPC1B,1.01086,0.9641799999999999
1821,Actin-related protein 2/3 complex subunit 2,ARPC2,1.01157,0.9818725
1822,Actin-related protein 2/3 complex subunit 3,ARPC3,1.01131,0.9582575
1823,DNA-directed RNA polymerases I and III subunit RPAC1,POLR1C,1.1018,0.9882925
1824,Membrane-associated progesterone receptor component 2,PGRMC2,0.9527275,0.97834
1825,Prefoldin subunit 6,PFDN6,0.9858374999999999,0.9944725
1826,NF-kappa-B-repressing factor,NKRF,1.27645,1.1918
1827,"28S ribosomal protein S12, mitochondrial",MRPS12,0.9364525,0.921705
1828,Protein RER1,RER1,0.9990875,0.9913225
1829,Surfeit locus protein 4,SURF4,1.110325,1.0559749999999999
1830,Serine palmitoyltransferase 1,SPTLC1,1.1028075,1.141965
1831,Serine palmitoyltransferase 2,SPTLC2,0.965735,NA
1832,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,0.98635,1.073175
1834,Phosphomannomutase 2;Phosphomannomutase,PMM2,0.90782,1.00187
1835,High mobility group protein B3,HMGB3,1.100025,0.98445
1836,Protein phosphatase 1G,PPM1G,1.0226925,1.00458
1837,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",INPPL1,1.04233,0.9439225
1838,Eukaryotic translation initiation factor 3 subunit D,EIF3D,1.0111999999999999,0.98373
1839,Histone deacetylase 3,HDAC3,1.24195,NA
1842,Importin-8,IPO8,0.967135,1.0415
1843,Syntaxin-7,STX7,0.9071275000000001,0.9866100000000001
1845,Multidrug resistance-associated protein 4,ABCC4,1.0509249999999999,0.9879675
1846,Multidrug resistance-associated protein 5,ABCC5,1.2555749999999999,0.948125
1848,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,1.19385,1.002045
1849,Synaptobrevin homolog YKT6,YKT6,1.017605,0.96716
1850,Actin-related protein 2/3 complex subunit 5,ARPC5,1.0062825000000002,1.0033525
1851,"Fatty acid-binding protein, brain",FABP7,0.6209800000000001,1.2542
1852,RING finger protein 113A,RNF113A,1.21275,NA
1853,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,1.0631475,0.9943850000000001
1854,mRNA cap guanine-N7 methyltransferase,RNMT,1.04385,1.0254325
1855,Zinc finger ZZ-type and EF-hand domain-containing protein 1,ZZEF1,1.078455,NA
1857,TELO2-interacting protein 1 homolog,TTI1,1.0045275,1.020375
1858,U4/U6 small nuclear ribonucleoprotein Prp4,PRPF4,1.22255,1.2651724999999998
1859,D-3-phosphoglycerate dehydrogenase,PHGDH,0.9898625000000001,1.0185
1860,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUFS4,1.0693325,0.98507
1861,Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,0.9568924999999999,1.0215524999999999
1862,26S proteasome non-ATPase regulatory subunit 3,PSMD3,0.96244,1.004905
1863,RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog;RNA binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog 3,RBFOX2;RBFOX1;RBFOX3,1.167375,1.0586000000000002
1864,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS1,1.1471,0.9223825
1865,Centromere/kinetochore protein zw10 homolog,ZW10,1.0022,0.9931049999999999
1866,U4/U6.U5 tri-snRNP-associated protein 1,SART1,1.3209499999999998,1.154275
1867,Glycosylphosphatidylinositol anchor attachment 1 protein,GPAA1,4.8030800000000005,1.6370349999999998
1868,Death-associated protein kinase 3,DAPK3,1.528875,1.3698000000000001
1870,Heat shock 70 kDa protein 12A,HSPA12A,1.08445,0.9421599999999999
1872,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1;EEF1E1-BLOC1S5,0.9683575,1.02475
1873,WD repeat-containing protein 62,WDR62,1.3792499999999999,NA
1874,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,1.14453,1.082505
1875,U4/U6 small nuclear ribonucleoprotein Prp3,PRPF3,1.15374,1.04842
1876,Thioredoxin-like protein 1,TXNL1,0.99024,0.9591
1877,Tumor protein D54,TPD52L2,1.1547999999999998,0.9488624999999999
1879,Acidic fibroblast growth factor intracellular-binding protein,FIBP,1.2941,NA
1880,Peptidyl-prolyl cis-trans isomerase H;Peptidyl-prolyl cis-trans isomerase,PPIH,0.9570475,0.9971049999999999
1882,Band 4.1-like protein 2,EPB41L2,1.0548549999999999,1.0850499999999998
1883,Ragulator complex protein LAMTOR5,LAMTOR5,1.16455,1.101825
1884,"Beta-1,4-glucuronyltransferase 1",B4GAT1,0.8472625,1.947425
1885,E3 ubiquitin-protein ligase RNF13,RNF13,1.8344999999999998,NA
1886,Density-regulated protein,DENR,1.1016500000000002,1.0082200000000001
1887,Exportin-T,XPOT,0.9826725000000001,1.0004274999999998
1888,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44,1.0343,0.9979425
1889,Trafficking protein particle complex subunit 3,TRAPPC3,1.0404974999999999,0.9389025
1890,Charged multivesicular body protein 2a,CHMP2A,0.9332175,0.9753225000000001
1891,Pleiotropic regulator 1,PLRG1,1.0665749999999998,1.10513
1892,Protein regulator of cytokinesis 1,PRC1,0.980945,NA
1893,Regulator of G-protein signaling 10,RGS10,0.888065,0.966965
1894,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,NDUFB3,0.86742,1.01932
1895,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,NDUFA2,0.9669274999999999,1.0028075
1896,ATPase ASNA1,ASNA1,1.0007475000000001,0.953585
1898,Alpha-actinin-4,ACTN4,1.02095,1.0037725000000002
1899,Probable 18S rRNA (guanine-N(7))-methyltransferase,WBSCR22,0.988675,1.1654499999999999
1900,HIV Tat-specific factor 1,HTATSF1,1.187275,1.01619
1901,ER lumen protein-retaining receptor 3,KDELR3,1.109575,1.1202999999999999
1902,5-AMP-activated protein kinase subunit beta-2,PRKAB2,1.38245,1.27735
1903,AP-1 complex subunit gamma-1,AP1G1,0.9840774999999999,1.0012625
1904,Syntaxin-6,STX6,1.0872000000000002,2.4045
1905,Synaptogyrin-2,SYNGR2,1.097575,1.0215125
1906,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,SGTA,0.9611725,1.045175
1907,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,1.1458,1.03705
1908,"Asparagine--tRNA ligase, cytoplasmic",NARS,1.04535,0.9649025
1909,Sjoegren syndrome nuclear autoantigen 1,SSNA1,1.11175,0.939265
1910,Cleavage and polyadenylation specificity factor subunit 5,NUDT21,0.9378825,0.971105
1911,LanC-like protein 1,LANCL1,1.004285,1.014595
1912,Striatin,STRN,1.4789750000000002,1.1243750000000001
1913,U3 small nucleolar RNA-interacting protein 2,RRP9,1.0403675000000001,1.10614
1914,"Protein SCO2 homolog, mitochondrial",SCO2,1.0046125,0.9730675
1916,A-kinase anchor protein 8,AKAP8,1.6909,1.205225
1918,Calumenin,CALU,1.0163475,1.016775
1919,Calumenin,CALU,0.8663525000000001,1.034075
1920,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase;Putative adenosylhomocysteinase 3,AHCYL1;AHCYL2,0.9686250000000001,1.032785
1921,Kinesin-like protein KIF1C,KIF1C,2.00575,NA
1922,Origin recognition complex subunit 5,ORC5,1.096925,1.06614
1923,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,0.956445,0.988755
1924,"Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta",PDE6D,1.458825,1.516725
1925,Double-strand-break repair protein rad21 homolog,RAD21,1.5835500000000002,0.9407074999999999
1926,Mitochondrial import inner membrane translocase subunit Tim8 A,TIMM8A,1.1033,0.9919549999999999
1927,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,DHX16,1.0669,1.073125
1928,Mediator of RNA polymerase II transcription subunit 14,MED14,0.9230225000000001,0.976695
1929,Phosphoribosyl pyrophosphate synthase-associated protein 2,PRPSAP2,0.933005,0.9896825
1930,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMARCA5,1.176925,1.1662
1931,C-Jun-amino-terminal kinase-interacting protein 4,SPAG9,1.1644999999999999,0.9743275
1932,C-Jun-amino-terminal kinase-interacting protein 4,SPAG9,1.144325,0.97524
1933,Sushi domain-containing protein 5,SUSD5,1.038375,1.076175
1934,Zinc finger C3H1 domain-containing protein,ZFC3H1,1.15505,1.219675
1935,tRNA wybutosine-synthesizing protein 4,LCMT2,1.04159,NA
1936,Intron-binding protein aquarius,AQR,1.019945,1.007275
1937,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",OPA1,1.1149499999999999,0.98433
1938,Germinal-center associated nuclear protein,MCM3AP,1.27455,NA
1939,Kinesin-like protein KIF1B;Kinesin-like protein,KIF1B;KIF1Bbeta,1.0378474999999998,1.1431
1942,Lysine-specific histone demethylase 1A,KDM1A,0.92753,0.9748375
1943,TBC1 domain family member 4,TBC1D4,1.1182,1.2168999999999999
1945,Putative nucleoside diphosphate kinase,NME2P1,0.9165175,0.9475225
1946,Non-syndromic hearing impairment protein 5,DFNA5,1.609775,1.152685
1947,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB;alpha-1,2-Mannosidase",MAN1A2,1.5281500000000001,NA
1948,Long-chain-fatty-acid--CoA ligase 4,ACSL4,1.02963,1.00885
1949,Sorting nexin-3,SNX3,0.9387725,1.0031525000000001
1950,Protein O-GlcNAcase,MGEA5,1.090325,0.9525825
1952,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,0.983915,1.00479
1953,Ran-binding protein 6,RANBP6,1.00039,1.1340625
1954,Nuclear export mediator factor NEMF,NEMF,1.002625,0.982465
1955,"GDP-mannose 4,6 dehydratase",GMDS,1.0956424999999999,1.02315
1957,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,BUB1B,1.23083,NA
1958,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,1.108425,0.9864850000000001
1959,Perilipin-3,PLIN3,1.19745,0.968745
1960,Cell cycle checkpoint protein RAD1,RAD1,1.0243499999999999,1.150525
1961,Importin subunit alpha-7,KPNA6,1.11205,1.0465499999999999
1962,UDP-glucose 6-dehydrogenase,UGDH,1.05368,0.99904
1963,Leupaxin,LPXN,1.356255,1.8171
1964,Catenin delta-1,CTNND1,1.0779,1.016475
1965,Protein-S-isoprenylcysteine O-methyltransferase,ICMT,1.34605,1.250625
1966,Eukaryotic translation initiation factor 1b,EIF1B,1.0144975,1.05013
1968,Sorting nexin-2,SNX2,1.0369424999999999,1.0434999999999999
1969,Dolichol-phosphate mannosyltransferase subunit 1,DPM1,1.1466500000000002,1.0156399999999999
1970,General vesicular transport factor p115,USO1,1.0216699999999999,0.9927925
1971,"28S ribosomal protein S14, mitochondrial",MRPS14,1.0623325000000001,0.9520675
1972,Target of Myb protein 1,TOM1,1.295525,1.10047
1973,Coiled-coil domain-containing protein 22,CCDC22,1.088825,1.072775
1974,Polyglutamine-binding protein 1,PQBP1,0.9485125,1.0153750000000001
1975,Mitochondrial import inner membrane translocase subunit Tim17-B,TIMM17B,1.0740150000000002,NA
1976,PRA1 family protein 2,PRAF2,1.05957,1.008415
1977,H/ACA ribonucleoprotein complex subunit 4,DKC1,1.165795,0.8831799999999999
1978,Growth arrest-specific protein 7,GAS7,1.070925,1.15653
1979,Endothelial differentiation-related factor 1,EDF1,1.041375,1.0312925000000002
1980,DnaJ homolog subfamily A member 2,DNAJA2,0.944165,0.978845
1981,Bromodomain-containing protein 4,BRD4,1.201125,0.88551
1982,Protein CutA,CUTA,1.092625,0.97151
1983,Checkpoint protein HUS1,HUS1,1.30031,NA
1984,Prefoldin subunit 1,PFDN1,0.97635,0.999065
1986,Ribonuclease H1,RNASEH1,0.9375825,1.05748
1987,Nibrin,NBN,1.70575,NA
1988,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase,RNGTT,0.92966,1.0458925
1990,Plexin-A2,PLXNA2,1.0560025,0.90048
1992,Putative tyrosine-protein phosphatase auxilin,DNAJC6,1.0061075,1.077535
1993,WD repeat-containing protein 1,WDR1,1.0179999999999998,1.0307
1994,Slit homolog 1 protein,SLIT1,0.623155,NA
1995,Rho-associated protein kinase 2,ROCK2,1.07585,1.02895
1996,Copine-3,CPNE3,1.1276525,1.027175
1998,Huntingtin-interacting protein 1-related protein,HIP1R,1.0396725,0.9748
1999,E3 ubiquitin-protein ligase BRE1B,RNF40,0.934685,0.98402
2000,Zinc finger CCCH domain-containing protein 11A,ZC3H11A,1.2002000000000002,1.080225
2001,Clustered mitochondria protein homolog,CLUH,0.9677125,0.985645
2002,DnaJ homolog subfamily C member 13,DNAJC13,0.9758125,0.9925
2003,Serine/threonine-protein phosphatase 6 regulatory subunit 2,PPP6R2,0.862115,NA
2004,CCR4-NOT transcription complex subunit 3,CNOT3,1.2023350000000002,1.1053
2005,Ankyrin repeat domain-containing protein 17,ANKRD17,0.9421625,0.96196
2006,Paired amphipathic helix protein Sin3b,SIN3B,1.19885,1.214795
2007,Xylulose kinase,XYLB,1.04976,1.321825
2008,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9,0.94789,1.1124075
2009,Gamma-glutamylcyclotransferase,GGCT,0.99314499999999994,0.97861
2010,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,0.9512375,0.9596024999999999
2011,Protein NipSnap homolog 2,GBAS,1.1294675,0.9589825000000001
2012,Hyaluronan mediated motility receptor,HMMR,1.1192325,1.103475
2013,Programmed cell death protein 6,PDCD6,1.1145,1.0086575
2014,V-type proton ATPase subunit G 1,ATP6V1G1,0.957525,1.007365
2015,Vacuolar protein sorting-associated protein 4B,VPS4B,0.997385,0.9690775
2017,Core histone macro-H2A.1;Histone H2A,H2AFY,0.83689500000000006,NA
2018,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,1.002785,0.996275
2019,Filamin-B,FLNB,1.0377999999999998,0.9761725
2020,Vesicle-associated membrane protein 4,VAMP4,1.72315,1.4672
2021,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,0.994905,1.068375
2023,Serine/threonine-protein kinase ULK1,ULK1,0.99026,0.99657
2024,"39S ribosomal protein L33, mitochondrial",MRPL33,1.023545,0.95408249999999994
2025,Vesicle-trafficking protein SEC22b,SEC22B,1.0749,1.03995
2026,Pre-mRNA-processing factor 40 homolog A,PRPF40A,1.0172075,1.094465
2027,Transforming acidic coiled-coil-containing protein 1,TACC1,1.4624000000000001,NA
2028,Cell division control protein 45 homolog,CDC45,0.9511825,0.8807674999999999
2031,Vacuolar protein sorting-associated protein 26A,VPS26A,1.06585,0.9677025
2032,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,NDUFB1,0.9807975,1.1742
2034,PC4 and SFRS1-interacting protein,PSIP1,0.9119325,1.004075
2035,Erlin-1,ERLIN1,1.0596225000000001,1.03543
2037,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,1.000785,0.9521375
2038,Serine/arginine-rich splicing factor 10,SRSF10,1.2698749999999999,1.164225
2041,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1,1.0196800000000001,1.022325
2042,Splicing factor 3B subunit 1,SF3B1,1.0058475,1.0092325
2043,Cold shock domain-containing protein E1,CSDE1,0.9199999999999999,0.9814775
2044,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,PRKRA,1.163525,1.101725
2046,Nucleoplasmin-3,NPM3,1.0571199999999998,1.02135
2047,Acyl-protein thioesterase 1,LYPLA1,0.9792825000000001,1.01465
2048,Protein CREG1,CREG1,1.5007000000000001,NA
2049,U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,1.0826875,1.038875
2051,TIP41-like protein,TIPRL,0.963665,1.030925
2053,Protein phosphatase 1B,PPM1B,1.1772,NA
2054,Small subunit processome component 20 homolog,UTP20,0.95305,1.0416750000000001
2055,Nuclear pore complex protein Nup155,NUP155,0.922335,0.9825775000000001
2056,WD repeat and HMG-box DNA-binding protein 1,WDHD1,1.323315,1.078
2057,Cartilage-associated protein,CRTAP,0.977115,1.01694
2058,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,1.075225,1.068505
2059,Renin receptor,ATP6AP2,0.9999275000000001,0.9880725
2060,Ribonuclease H2 subunit A,RNASEH2A,1.27685,1.063675
2061,Cell division cycle protein 123 homolog,CDC123,0.8825525000000001,0.9962825
2063,Eukaryotic translation initiation factor 3 subunit G,EIF3G,0.98662,0.9686125
2064,Eukaryotic translation initiation factor 3 subunit J,EIF3J,0.99407,0.9959275000000001
2065,Carbonyl reductase [NADPH] 3,CBR3,1.025755,1.043675
2066,CAAX prenyl protease 1 homolog,ZMPSTE24,1.050885,0.9880675
2067,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,0.8770325,1.039575
2068,Attractin,ATRN,1.122225,1.1949
2069,Putative hydrolase RBBP9,RBBP9,1.1857250000000001,1.012455
2070,Signal transducing adapter molecule 2,STAM2,1.07505,1.13375
2072,Cyclin-K,CCNK,1.1928325000000002,1.16555
2073,Short-chain dehydrogenase/reductase 3,DHRS3,0.779175,1.0675375
2074,PRA1 family protein 3,ARL6IP5,0.927475,0.9996050000000001
2075,Pre-mRNA-splicing factor SPF27,BCAS2,1.17355,1.074275
2076,Dynactin subunit 3,DCTN3,0.96694,0.97017
2077,DnaJ homolog subfamily C member 8,DNAJC8,0.9678249999999999,0.9837049999999999
2078,Survival of motor neuron-related-splicing factor 30,SMNDC1,1.185475,1.06285
2079,"ATP synthase subunit d, mitochondrial",ATP5H,1.019155,1.0297
2080,Flotillin-1,FLOT1,1.20961,NA
2081,"ATP synthase subunit g, mitochondrial",ATP5L,0.9247425,0.954455
2083,Carboxypeptidase D,CPD,0.96066,0.91696
2084,Glutaredoxin-3,GLRX3,1.0111875,0.9805875
2085,Ribosomal L1 domain-containing protein 1,RSL1D1,1.1003924999999999,1.14105
2086,Wolframin,WFS1,1.077725,1.02625
2087,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,0.9690175000000001,0.9868049999999999
2088,SEC14-like protein 2,SEC14L2,1.309075,1.034575
2089,Probable cytosolic iron-sulfur protein assembly protein CIAO1,CIAO1,1.1662,1.206725
2091,Signal recognition particle subunit SRP72,SRP72,1.06755,1.0224275
2094,Metastasis-associated protein MTA2,MTA2,1.0633,1.0116675
2095,Serine/threonine-protein kinase 10,STK10,1.05105,1.01271
2097,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,GFPT2,1.38565,0.9454475
2098,E3 ubiquitin-protein ligase listerin,LTN1,1.1593499999999999,0.98687
2099,Mitochondrial import receptor subunit TOM70,TOMM70A,0.9822825,0.969255
2100,Importin-13,IPO13,1.00501,1.1251
2101,Unconventional myosin-Id,MYO1D,1.448125,1.0441500000000001
2103,Protein transport protein Sec24D,SEC24D,1.059895,0.9192475
2104,E3 UFM1-protein ligase 1,UFL1,0.9752275,1.0345374999999999
2105,SAM and SH3 domain-containing protein 1,SASH1,1.2722,1.518875
2106,UBX domain-containing protein 7,UBXN7,2.1306,NA
2107,Proline synthase co-transcribed bacterial homolog protein,PROSC,0.8871425,1.0063775000000001
2108,Erlin-2,ERLIN2,1.140775,0.9507825000000001
2109,Pre-mRNA-processing factor 6,PRPF6,1.133625,1.0125875
2110,Protein furry homolog-like,FRYL,0.9527025,0.9936750000000001
2111,Endonuclease domain-containing 1 protein,ENDOD1,1.1136249999999999,1.163
2112,"Glutaminase kidney isoform, mitochondrial",GLS,1.1295250000000001,0.9491499999999999
2113,Protein SOGA1;N-terminal form;C-terminal 80 kDa form,SOGA1,0.972405,1.03778
2114,Ubiquitin carboxyl-terminal hydrolase 19;Ubiquitin carboxyl-terminal hydrolase,USP19,0.9658675000000001,0.9632674999999999
2115,AP-2 complex subunit alpha-2,AP2A2,1.1571,1.0258224999999999
2116,Protein HEXIM1,HEXIM1,1.06101,1.082375
2117,Ribonuclease P protein subunit p14,RPP14,0.9961550000000001,1.08945
2118,G2/mitotic-specific cyclin-B2,CCNB2;CCNB2V,1.7527,1.1057299999999999
2119,Protein YIF1A,YIF1A,1.2116,1.167645
2120,"Splicing factor, arginine/serine-rich 15",SCAF4,1.53255,NA
2121,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,1.3266,0.978175
2122,Mitofusin-2,MFN2,1.22235,1.217025
2124,Snurportin-1,SNUPN,0.78987,NA
2125,Ubiquitin conjugation factor E4 B,UBE4B,0.9013525,0.9521925
2126,Zinc finger protein-like 1,ZFPL1,1.15465,1.19695
2127,Elongator complex protein 1,IKBKAP,0.99312,0.9941149999999999
2129,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,NDUFA3,0.86436,NA
2130,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,0.898245,0.9672425
2131,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",NDUFB8,0.9588875000000001,1.063885
2132,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,1.11908,1.0954975
2133,Vesicle-associated membrane protein 5,VAMP5,0.9792825000000001,1.0249425
2134,Reticulon-3,RTN3,1.013555,1.0451424999999999
2135,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,1.0083525,0.9874925
2136,Muscleblind-like protein 2,MBLL;MBNL2,1.1053175,1.070225
2138,Zinc finger Ran-binding domain-containing protein 2,ZRANB2,0.932365,0.8923375
2139,Sorting nexin-4,SNX4,1.1205,1.2562250000000001
2141,Luc7-like protein 3,LUC7L3,0.9536924999999999,0.988245
2142,Kinesin-like protein KIF20A,KIF20A,1.1145749999999999,1.056375
2143,Chromosome-associated kinesin KIF4A,KIF4A,1.0747,0.907565
2144,Cyclin-D1-binding protein 1,CCNDBP1,1.4739,2.393975
2145,Vesicle-associated membrane protein-associated protein B/C,VAPB,1.073525,0.97026
2146,SNARE-associated protein Snapin,SNAPIN,0.942165,0.9425399999999999
2147,Myelin protein zero-like protein 1,MPZL1,1.4157,1.1051000000000002
2148,"NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",NDUFC2;KCTD14;NDUFC2-KCTD14,0.93409,1.0348775
2149,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,1.252475,1.0299575
2150,6-phosphogluconolactonase,PGLS,1.0753875,0.92546
2151,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS2,1.6733500000000001,1.1315
2152,Structural maintenance of chromosomes protein 2,SMC2,0.9381925,1.0299749999999999
2153,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,0.98453,1.0595024999999998
2154,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,1.0878225,0.9526600000000001
2156,Acyl-protein thioesterase 2,LYPLA2,1.0369199999999998,0.9378175
2157,Importin-7,IPO7,0.9536775,1.0079175
2158,E3 ubiquitin-protein ligase ARIH2,ARIH2,0.979355,1.003495
2161,Phosphoacetylglucosamine mutase,PGM3,1.037425,1.08935
2163,Urotensin-2,UTS2,0.9773000000000001,0.9872225
2164,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,1.1428500000000001,1.24165
2165,Supervillin,SVIL,1.0130025,0.9863824999999999
2166,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,1.0809,0.99068
2167,Poly(A)-specific ribonuclease PARN,PARN,1.49454,1.0121925
2168,Proteasome assembly chaperone 1,PSMG1,0.9647125,1.044875
2169,Sphingosine-1-phosphate lyase 1,SGPL1,1.135675,1.0165
2170,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,H6PD,1.029575,NA
2171,Protein transport protein Sec24A,SEC24A,0.9220225,0.9884325
2172,Protein transport protein Sec24B,SEC24B,1.0132275,1.022275
2176,Mitochondrial pyruvate carrier 2,MPC2,1.01928,1.069925
2177,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,1.06616,1.0033975
2178,Long-chain-fatty-acid--CoA ligase 3,ACSL3,0.9366775,1.059725
2179,Pericentrin,PCNT,1.116125,1.0305675
2181,STAM-binding protein,STAMBP,1.0789,1.03302
2184,FGFR1 oncogene partner,FGFR1OP,1.050825,1.293
2186,E3 ubiquitin-protein ligase HERC2,HERC2,1.012655,1.04055
2187,Ras-related protein Rab-3D,RAB3D,0.9641775,1.02245
2188,Synaptosomal-associated protein 29;Synaptosomal-associated protein,SNAP29,1.118525,1.0226825
2189,Serine/threonine-protein kinase OSR1,OXSR1,0.9790825000000001,1.0234025
2190,Geranylgeranyl pyrophosphate synthase,GGPS1,1.4819049999999998,1.05324
2191,Heat shock 70 kDa protein 4L,HSPA4L,0.8615875000000001,0.9122574999999999
2193,U6 snRNA-associated Sm-like protein LSm8,LSM8,1.034325,1.03485
2194,AP-2 complex subunit alpha-1,AP2A1,1.0388950000000001,1.013065
2195,Double-stranded RNA-binding protein Staufen homolog 1,STAU1,1.03956,0.91408
2196,Tetratricopeptide repeat protein 4,TTC4,1.186075,1.172475
2197,BAG family molecular chaperone regulator 2,BAG2,0.8683025,1.030875
2198,BAG family molecular chaperone regulator 3,BAG3,1.243475,1.148645
2199,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,1.0153875,0.9781575
