id,Protein names,Gene names,PRO_30m_med,PRO_4h_med
1996,Copine-3,CPNE3,1.1137,1.0206
1998,Huntingtin-interacting protein 1-related protein,HIP1R,0.98375,0.98303
1999,E3 ubiquitin-protein ligase BRE1B,RNF40,0.92536,0.98371
2000,Zinc finger CCCH domain-containing protein 11A,ZC3H11A,1.1765,1.0802
2001,Clustered mitochondria protein homolog,CLUH,0.96895,0.98968
2002,DnaJ homolog subfamily C member 13,DNAJC13,0.97807,0.99499
2004,CCR4-NOT transcription complex subunit 3,CNOT3,1.2423,1.1179
2005,Ankyrin repeat domain-containing protein 17,ANKRD17,0.94825,0.96501
2006,Paired amphipathic helix protein Sin3b,SIN3B,1.1396,1.1828
2007,Xylulose kinase,XYLB,1.0315,1.5609
2008,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9,0.92083,1.076
2009,Gamma-glutamylcyclotransferase,GGCT,0.99512,0.97497
2010,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,0.94701,0.96599
2011,Protein NipSnap homolog 2,GBAS,1.1358,0.96881
2012,Hyaluronan mediated motility receptor,HMMR,1.0838,1.1252
2013,Programmed cell death protein 6,PDCD6,1.1196,0.93896
2014,V-type proton ATPase subunit G 1,ATP6V1G1,0.96706,1.0051
2015,Vacuolar protein sorting-associated protein 4B,VPS4B,0.99668,0.9792
2018,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,1.0262,1.0056
2019,Filamin-B,FLNB,1.0317,0.9805
2020,Vesicle-associated membrane protein 4,VAMP4,1.478,1.4167
2021,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,0.91273,1.0781
2023,Serine/threonine-protein kinase ULK1,ULK1,1.0521,0.99544
2024,"39S ribosomal protein L33, mitochondrial",MRPL33,0.99585,0.92662
2025,Vesicle-trafficking protein SEC22b,SEC22B,1.0699,1.0567
2026,Pre-mRNA-processing factor 40 homolog A,PRPF40A,1.0029,1.0758
2028,Cell division control protein 45 homolog,CDC45,0.97224,0.88291
2031,Vacuolar protein sorting-associated protein 26A,VPS26A,1.0676,0.9715
2032,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,NDUFB1,0.97467,1.1711
2034,PC4 and SFRS1-interacting protein,PSIP1,0.93607,1.0048
2035,Erlin-1,ERLIN1,0.99844,0.98002
2037,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,1.0113,0.94867
2038,Serine/arginine-rich splicing factor 10,SRSF10,1.1415,1.1764
2041,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1,1.0234,1.0155
2042,Splicing factor 3B subunit 1,SF3B1,1.0176,1.0108
2043,Cold shock domain-containing protein E1,CSDE1,0.91766,0.98136
2044,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,PRKRA,1.1061,1.0768
2046,Nucleoplasmin-3,NPM3,0.98213,1.0046
2047,Acyl-protein thioesterase 1,LYPLA1,0.9909,1.0268
2049,U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,1.1016,1.0334
2051,TIP41-like protein,TIPRL,1.0097,1.0282
2054,Small subunit processome component 20 homolog,UTP20,0.96158,1.0371
2055,Nuclear pore complex protein Nup155,NUP155,0.92093,0.97962
2056,WD repeat and HMG-box DNA-binding protein 1,WDHD1,1.1541,1.0785
2057,Cartilage-associated protein,CRTAP,0.9884,1.0303
2058,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,1.0841,0.98478
2059,Renin receptor,ATP6AP2,0.97283,0.88626
2060,Ribonuclease H2 subunit A,RNASEH2A,1.3332,1.047
2061,Cell division cycle protein 123 homolog,CDC123,0.88246,0.96949
2063,Eukaryotic translation initiation factor 3 subunit G,EIF3G,0.98848,0.98193
2064,Eukaryotic translation initiation factor 3 subunit J,EIF3J,0.98852,0.9815
2065,Carbonyl reductase [NADPH] 3,CBR3,1.0256,1.0383
2066,CAAX prenyl protease 1 homolog,ZMPSTE24,1.0641,0.99575
2067,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,0.88127,1.0411
2068,Attractin,ATRN,1.1618,1.208
2069,Putative hydrolase RBBP9,RBBP9,1.177,1.0756
2070,Signal transducing adapter molecule 2,STAM2,1.098,1.1878
2072,Cyclin-K,CCNK,1.0942,1.0932
2073,Short-chain dehydrogenase/reductase 3,DHRS3,0.82206,1.0779
2074,PRA1 family protein 3,ARL6IP5,0.92749,1.0047
2075,Pre-mRNA-splicing factor SPF27,BCAS2,1.1108,1.0557
2076,Dynactin subunit 3,DCTN3,0.99546,0.96362
2077,DnaJ homolog subfamily C member 8,DNAJC8,0.96583,0.97816
2078,Survival of motor neuron-related-splicing factor 30,SMNDC1,1.1709,1.0728
2079,"ATP synthase subunit d, mitochondrial",ATP5H,1.0034,1.0284
2081,"ATP synthase subunit g, mitochondrial",ATP5L,0.92896,0.96145
2083,Carboxypeptidase D,CPD,0.98792,0.91717
2084,Glutaredoxin-3,GLRX3,1.0049,0.99054
2085,Ribosomal L1 domain-containing protein 1,RSL1D1,1.1608,1.1273
2086,Wolframin,WFS1,1.083,1.0321
2087,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,0.97246,1.0023
2088,SEC14-like protein 2,SEC14L2,1.3669,1.0241
2089,Probable cytosolic iron-sulfur protein assembly protein CIAO1,CIAO1,1.1244,1.1997
2091,Signal recognition particle subunit SRP72,SRP72,1.0753,0.99195
2094,Metastasis-associated protein MTA2,MTA2,1.0155,1.0108
2095,Serine/threonine-protein kinase 10,STK10,1.0385,1.036
2097,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,GFPT2,1.3682,0.97013
2098,E3 ubiquitin-protein ligase listerin,LTN1,1.2176,0.99788
2099,Mitochondrial import receptor subunit TOM70,TOMM70A,0.9684,0.95675
2100,Importin-13,IPO13,0.98683,1.0523
2101,Unconventional myosin-Id,MYO1D,1.4176,1.0415
2103,Protein transport protein Sec24D,SEC24D,1.064,0.92962
2104,E3 UFM1-protein ligase 1,UFL1,0.97411,1.0271
2105,SAM and SH3 domain-containing protein 1,SASH1,1.2673,1.6294
2107,Proline synthase co-transcribed bacterial homolog protein,PROSC,0.87758,1.0645
2108,Erlin-2,ERLIN2,1.1383,0.95895
2109,Pre-mRNA-processing factor 6,PRPF6,1.1486,0.99476
2110,Protein furry homolog-like,FRYL,0.92518,1.0213
2111,Endonuclease domain-containing 1 protein,ENDOD1,1.0371,1.2537
2112,"Glutaminase kidney isoform, mitochondrial",GLS,1.1221,0.93536
2113,Protein SOGA1;N-terminal form;C-terminal 80 kDa form,SOGA1,0.93206,1.0407
2114,Ubiquitin carboxyl-terminal hydrolase 19;Ubiquitin carboxyl-terminal hydrolase,USP19,0.96125,0.95614
2115,AP-2 complex subunit alpha-2,AP2A2,1.1,1.043
2116,Protein HEXIM1,HEXIM1,1.077,1.0901
2117,Ribonuclease P protein subunit p14,RPP14,0.99532,1.0986
2118,G2/mitotic-specific cyclin-B2,CCNB2;CCNB2V,1.1064,1.1935
2119,Protein YIF1A,YIF1A,1.0919,1.448
2120,"Splicing factor, arginine/serine-rich 15",SCAF4,1.3524,NA
2121,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,1.0769,1.1152
2122,Mitofusin-2,MFN2,1.1763,1.207
2125,Ubiquitin conjugation factor E4 B,UBE4B,0.90772,0.94773
2126,Zinc finger protein-like 1,ZFPL1,1.0875,1.2001
2127,Elongator complex protein 1,IKBKAP,0.9754,1.0265
2130,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,0.8917,0.93151
2131,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",NDUFB8,0.92552,1.0411
2132,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,1.1623000000000001,1.004
2133,Vesicle-associated membrane protein 5,VAMP5,0.99689,1.0158
2134,Reticulon-3,RTN3,1.0057,1.0565
2135,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,0.98569,0.97468
2136,Muscleblind-like protein 2,MBLL;MBNL2,1.1366,1.047
2138,Zinc finger Ran-binding domain-containing protein 2,ZRANB2,0.94,0.88995
2139,Sorting nexin-4,SNX4,1.0747,1.1867
2141,Luc7-like protein 3,LUC7L3,0.96278,0.98413
2142,Kinesin-like protein KIF20A,KIF20A,1.0586,1.0563
2143,Chromosome-associated kinesin KIF4A,KIF4A,1.057,0.91818
2144,Cyclin-D1-binding protein 1,CCNDBP1,1.535,2.6557
2145,Vesicle-associated membrane protein-associated protein B/C,VAPB,1.0767,0.96524
2146,SNARE-associated protein Snapin,SNAPIN,0.97684,0.95731
2147,Myelin protein zero-like protein 1,MPZL1,1.1551,1.0037
2148,"NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",NDUFC2;KCTD14;NDUFC2-KCTD14,0.93275,1.0173
2149,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,1.2292,1.0441
2150,6-phosphogluconolactonase,PGLS,1.1135,0.90238
2151,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS2,1.662,1.1137
2152,Structural maintenance of chromosomes protein 2,SMC2,0.94425,1.0224
2153,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,0.94077,1.0151
2154,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,0.86537,1.0298
2156,Acyl-protein thioesterase 2,LYPLA2,1.0339,0.93698
2157,Importin-7,IPO7,0.96523,1.0099
2158,E3 ubiquitin-protein ligase ARIH2,ARIH2,0.97005,1.0241
2161,Phosphoacetylglucosamine mutase,PGM3,1.0196,1.0766
2163,Urotensin-2,UTS2,0.98475,0.9911
2164,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,1.1478,1.4646
2165,Supervillin,SVIL,1.0282,0.99493
2166,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,1.0926,0.99263
2167,Poly(A)-specific ribonuclease PARN,PARN,1.0712,1.0524
2168,Proteasome assembly chaperone 1,PSMG1,0.98822,1.0355
2169,Sphingosine-1-phosphate lyase 1,SGPL1,1.063,1.0244
2171,Protein transport protein Sec24A,SEC24A,0.91679,0.98157
2172,Protein transport protein Sec24B,SEC24B,1.0205,1.0224
2176,Mitochondrial pyruvate carrier 2,MPC2,1.0445,1.0813
2177,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,1.0675,0.98604
2178,Long-chain-fatty-acid--CoA ligase 3,ACSL3,0.91651,1.0489
2179,Pericentrin,PCNT,0.86194,1.0341
2181,STAM-binding protein,STAMBP,1.0922,1.0253
2184,FGFR1 oncogene partner,FGFR1OP,1.0948,1.3413
2186,E3 ubiquitin-protein ligase HERC2,HERC2,1.0458,1.1306
2187,Ras-related protein Rab-3D,RAB3D,0.96451,1.0419
2188,Synaptosomal-associated protein 29;Synaptosomal-associated protein,SNAP29,1.0989,0.96347
2189,Serine/threonine-protein kinase OSR1,OXSR1,1.0015,0.98994
2190,Geranylgeranyl pyrophosphate synthase,GGPS1,0.94546,1.085
2191,Heat shock 70 kDa protein 4L,HSPA4L,0.85631,0.87844
2193,U6 snRNA-associated Sm-like protein LSm8,LSM8,1.0349,1.0357
2194,AP-2 complex subunit alpha-1,AP2A1,1.0562,0.99053
2195,Double-stranded RNA-binding protein Staufen homolog 1,STAU1,1.0037,0.92186
2196,Tetratricopeptide repeat protein 4,TTC4,1.2128,1.2922
2197,BAG family molecular chaperone regulator 2,BAG2,0.86604,1.031
2198,BAG family molecular chaperone regulator 3,BAG3,1.221,1.1497
2199,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,1.018,0.9706
2201,Tetraspanin-13,TSPAN13,1.0343,1.0103
2202,"3(2),5-bisphosphate nucleotidase 1",BPNT1,0.97263,1.0264
2205,Thioredoxin domain-containing protein 12,TXNDC12,0.93343,0.99194
2207,Protein SGT1,ECD,1.2403,1.085
2208,Methyl-CpG-binding domain protein 3,MBD3,1.1302,1.0166
2210,Securin-2;Securin,PTTG2;PTTG1,1.6313,1.2536
2211,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,0.97126,0.99522
2212,Cleft lip and palate transmembrane protein 1,CLPTM1,0.97565,0.96033
2213,Molybdopterin synthase catalytic subunit,MOCS2,1.1485,1.0685
2214,Mitochondrial import receptor subunit TOM40 homolog,TOMM40,0.95068,1.01
2215,Peroxisomal membrane protein 11B,PEX11B,1.0793,1.0309
2217,Actin-like protein 6A,ACTL6A,1.1045,1.0109
2218,Molybdopterin synthase sulfur carrier subunit,MOCS2,1.0069,0.99678
2219,Cytochrome b,MT-CYB,1.067,1.0675
2220,Cytochrome b5,CYB5A,0.95586,1.0136
2221,L-lactate dehydrogenase A chain,LDHA,0.93574,1.0616
2222,"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial",GLUD1;GLUD2,1.1553,0.97838
2223,Dihydrofolate reductase,DHFR,0.91019,0.82887
2224,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,CYB5R3,1.2155,0.9976
2225,"Glutathione reductase, mitochondrial",GSR,0.99875,0.98336
2226,Cytochrome c oxidase subunit 2,MT-CO2,1.0179,1.0225
2227,Superoxide dismutase [Cu-Zn],SOD1,1.0622,1.0075
2228,Purine nucleoside phosphorylase,PNP,1.0271,0.98561
2229,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,1.0241,0.95616
2230,"Aspartate aminotransferase, mitochondrial",GOT2,1.0461,0.98581
2231,Epidermal growth factor receptor;Receptor protein-tyrosine kinase,EGFR,1.1309,0.93704
2232,Phosphoglycerate kinase 1,PGK1,0.98917,1.0434
2233,Adenylate kinase isoenzyme 1,AK1,1.0782,0.93781
2235,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B,PLAT,1.6108,1.045
2236,ATP synthase subunit a,MT-ATP6,0.98766,1.1069
2237,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,SERPINA3,0.78839,1.1609
2238,Alpha-2-macroglobulin,A2M,0.68666,0.95323
2239,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,0.77511,0.46307
2240,Metalloproteinase inhibitor 1,TIMP1,1.4603,1.1482
2241,Cystatin-C,CST3,1.3347,1.0779
2242,"Cystatin-A;Cystatin-A, N-terminally processed",CSTA,1.2422,0.47527
2243,GTPase NRas,NRAS,0.98335,1.112
2244,"GTPase HRas;GTPase HRas, N-terminally processed",HRAS,1.203,1.0435
2249,Prelamin-A/C;Lamin-A/C,LMNA,1.1287,1.1556
2250,Prelamin-A/C;Lamin-A/C,LMNA,1.0633,1.1677
2251,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1,0.66486,0.47273
2254,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,1.0079,0.98705
2255,Ferritin light chain;Ferritin,FTL,1.0671,1.0334
2256,"Ferritin heavy chain;Ferritin heavy chain, N-terminally processed;Ferritin",FTH1,1.0082,1.051
2260,NADH-ubiquinone oxidoreductase chain 4,MT-ND4,0.96871,1.0269
2261,NADH-ubiquinone oxidoreductase chain 5,MT-ND5,0.85329,1.2849
2264,Catalase,CAT,1.0081,1.1268
2265,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,0.97076,1.0209
2266,Cystatin-B,CSTB,1.1282,1.0235
2267,Annexin A1;Annexin,ANXA1,0.84123,1.0716
2269,"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form",OAT,1.0458,1.0243
2270,"Thymidine kinase, cytosolic",TK1,1.0186,1.1125
2271,HLA class II histocompatibility antigen gamma chain,CD74,1.0679,1.147
2273,Protein S100-B,S100B,1.1209,1.0912
2276,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,1.0891,1.0158
2277,Argininosuccinate lyase,ASL,0.92844,1.0173
2278,Heat shock protein beta-1,HSPB1,0.70096,1.0399
2279,Thymidylate synthase,TYMS,0.90723,0.98746
2280,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,1.022,0.96286
2281,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,1.0874,0.99063
2282,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,1.1814,1.0863
2284,Anion exchange protein 2;Anion exchange protein,SLC4A2,1.0386,0.99315
2285,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,0.98279,0.99227
2286,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,0.96041,1.0265
2288,Integrin beta-3;Integrin beta,ITGB3,1.1272,1.053
2289,"Protein S100-A8;Protein S100-A8, N-terminally processed",S100A8,0.20181,0.27914
2290,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,1.0239,1.039
2292,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,1.0259,1.0088
2293,Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3,HMGN2;HMGN3,1.3152,1.1347
2295,Intercellular adhesion molecule 1,ICAM1,0.78482,1.0636
2296,60S acidic ribosomal protein P1,RPLP1,1.0836,1.0683
2297,60S acidic ribosomal protein P2,RPLP2,0.95598,1.0089
2298,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,0.99696,1.0063
2299,DNA-directed RNA polymerase III subunit RPC4,POLR3D,1.0481,1.2018
2300,Lupus La protein,SSB,0.95462,1.0439
2301,Integrin beta-1,ITGB1,1.0615,1.0153
2302,"Myosin light chain 1/3, skeletal muscle isoform;Myosin light chain 3",MYL1;MYL3,1.1096,0.8467
2303,Uroporphyrinogen decarboxylase,UROD,0.92605,0.88789
2306,Gelsolin,GSN,0.92406,0.89681
2307,Retinoblastoma-associated protein,RB1,1.0067,1.0031
2308,Cyclin-dependent kinase 1,CDK1;CDC2,0.99927,1.0013
2309,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,0.9848,0.99318
2310,Protein S100-A9,S100A9,0.33966,0.39506
2311,Protein S100;Protein S100-A6,S100A6,1.2556,0.98057
2312,Eukaryotic translation initiation factor 4E,EIF4E,1.0431,0.99146
2313,Alpha-enolase,ENO1,1.0557,1.0321
2314,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",PYGL,1.0072,0.98177
2315,Glucose-6-phosphate isomerase,GPI,0.96688,1.0354
2316,Nucleophosmin,NPM1,1.0281,1.0761
2317,,TPM3;DKFZp686J1372,1.0503,1.0325
2319,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,ITGAV,1.0355,1.0597
2321,Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B,HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST3H2BB,1.0472,1.0475
2322,Glia-derived nexin,SERPINE2,1.231,2.0796
2323,Glia-derived nexin,SERPINE2,0.99412,1.0329
2324,Epoxide hydrolase 1,EPHX1,1.1228,1.0246
2325,Acyl-CoA-binding protein,DBI,0.90819,1.0265
2326,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,0.93259,1.0018
2327,Neurofilament light polypeptide,NEFL,1.2473,0.94172
2328,Protein disulfide-isomerase,P4HB,1.0394,1.0122
2329,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,0.96876,0.95356
2330,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,1.4863,0.94431
2331,Calpain-1 catalytic subunit,CAPN1,1.0104,0.95108
2332,Tubulin beta chain,TUBB,0.97673,1.0219
2333,Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A,HEXB,1.0302,1.0408
2334,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,CTSL,1.2309,1.0592
2335,Profilin-1,PFN1,0.98716,1.0404
2337,Adenine phosphoribosyltransferase,APRT,0.98471,0.96928
2338,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,0.99874,0.98832
2339,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,1.1858,0.92568
2340,Heat shock protein HSP 90-alpha,HSP90AA1,0.96541,1.0309
2342,"Cytochrome b-c1 complex subunit 6, mitochondrial",UQCRH,0.97355,1.013
2345,"Fumarate hydratase, mitochondrial",FH,0.95489,0.97968
2346,Thrombospondin-1,THBS1,0.84285,0.5964
2347,Annexin A6;Annexin,ANXA6,0.84345,1.1493
2348,Rho-related GTP-binding protein RhoC,RHOC,1.1171,1.0673
2350,4F2 cell-surface antigen heavy chain,SLC3A2,0.84945,1.0019
2352,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,0.98403,0.95739
2353,Heat shock protein HSP 90-beta,HSP90AB1,0.92718,1.0079
2354,Signal recognition particle receptor subunit alpha,SRPR,0.99265,1.0077
2355,Asparagine synthetase [glutamine-hydrolyzing],ASNS,1.0491,1.0134
2356,Extracellular superoxide dismutase [Cu-Zn],SOD3,1.2554,1.1148
2357,Porphobilinogen deaminase,HMBS,0.88087,1.0005
2358,Matrix Gla protein,MGP,0.75295,1.1071
2359,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,1.0213,0.94513
2360,Collagen alpha-2(IV) chain;Canstatin,COL4A2,1.0786,0.9432
2361,"Cytochrome c1, heme protein, mitochondrial",CYC1,0.98754,1.0212
2362,U2 small nuclear ribonucleoprotein B,SNRPB2,1.1256,1.0238
2364,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,0.93006,0.99418
2365,Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain,ITGA5,0.92728,1.0802
2367,Vimentin,VIM,1.0732,1.0309
2368,40S ribosomal protein S17,RPS17,0.93431,1.0511
2369,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,0.92191,0.97502
2370,Annexin A5;Annexin,ANXA5,1.1084,1.0367
2371,U1 small nuclear ribonucleoprotein A,SNRPA,0.94542,0.95942
2372,Gamma-enolase;Enolase,ENO2,0.86759,0.98311
2373,Glutathione S-transferase P,GSTP1,0.94931,0.99984
2374,Galectin-1,LGALS1,1.246,1.0766
2375,Dihydropteridine reductase,QDPR,0.87092,1.0549
2376,High mobility group protein B1,HMGB1,0.93473,1.0614
2378,SPARC,SPARC,0.8606,1.1284
2379,Glutathione S-transferase Mu 1;Glutathione S-transferase Mu 4,GSTM1;GSTM4,0.96739,0.99842
2381,Clathrin light chain A,CLTA,1.0685,1.0938
2382,Clathrin light chain B,CLTB,1.0223,1.0308
2383,Annexin A4;Annexin,ANXA4,1.0853,0.71357
2384,"2,3-cyclic-nucleotide 3-phosphodiesterase",CNP,1.0117,1.0023
2385,Heme oxygenase 1,HMOX1,0.92167,1.2647
2386,"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase",DLD,0.9967,1.0162
2387,U2 small nuclear ribonucleoprotein A,SNRPA1,0.94398,0.99169
2388,Cytochrome c oxidase subunit 6C,COX6C,0.92975,1.0109
2389,Poly [ADP-ribose] polymerase 1,PARP1,1.0704,1.1186
2390,Leukotriene A-4 hydrolase,LTA4H,0.95618,0.97296
2391,Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase,ALDOC,0.82052,1.0067
2392,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",CISD3,0.97602,0.9076
2393,Trafficking protein particle complex subunit 2B;Trafficking protein particle complex subunit 2,TRAPPC2B;TRAPPC2,1.1228,1.0389
2396,Cancer/testis antigen family 45 member A3;Cancer/testis antigen family 45 member A1;Cancer/testis antigen family 45 member A2;Cancer/testis antigen family 45 member A9;Cancer/testis antigen family 45 member A8,CT45A3;CT45A1;CT45A2;CT45A9;CT45A8,0.92663,0.97212
2397,Splicing factor U2AF 35 kDa subunit,U2AF1,1.032,1.0082
2398,Cystathionine beta-synthase,CBS,1.1456,1.1544
2399,"Adrenodoxin, mitochondrial",FDX1,0.97501,1.0321
2400,60 kDa SS-A/Ro ribonucleoprotein,TROVE2,1.0549,1.0075
2401,Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase,GAA,0.84822,0.95447
2402,Ras-related protein R-Ras,RRAS,1.0013,1.0218
2403,Serine/threonine-protein kinase A-Raf,ARAF,1.1376,1.0614
2404,Histone H1.4,HIST1H1E,1.0064,1.0311
2405,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial;Acetyltransferase component of pyruvate dehydrogenase complex",DLAT,0.94554,0.96791
2407,Thioredoxin,TXN,1.1316,0.98316
2408,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,0.90302,1.004
2409,Carboxypeptidase;Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain,CTSA,1.0303,0.97285
2411,"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed",PRKAR1A,0.84455,0.9713
2412,S-formylglutathione hydrolase,ESD,0.98773,1.0158
2413,"60 kDa heat shock protein, mitochondrial",HSPD1,0.9797,0.99242
2414,Hyaluronan and proteoglycan link protein 1,HAPLN1,0.87471,0.97509
2415,78 kDa glucose-regulated protein,HSPA5,0.96386,1.0193
2416,Laminin subunit gamma-1,LAMC1,0.92438,1.0509
2417,Heat shock cognate 71 kDa protein,HSPA8,1.0218,0.98908
2418,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,0.87807,1.086
2420,Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase,UMPS,1.0331,0.99521
2421,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,1.0013,0.98801
2422,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",DBT,1.0371,1.0929
2423,"Glycogen phosphorylase, brain form",PYGB,1.1333,1.0084
2425,Ras-related protein Ral-A,RALA,0.85275,0.965
2426,Ras-related protein Ral-B,RALB,0.99725,1.0017
2428,Lysosome-associated membrane glycoprotein 1,LAMP1,1.1194,0.93592
2429,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,0.99,0.98965
2430,DNA topoisomerase 1,TOP1,1.2847,0.98535
2431,DNA topoisomerase 2-alpha,TOP2A,1.2218,1.1409
2432,Glucose-6-phosphate 1-dehydrogenase,G6PD,1.0304,1.0349
2433,Ubiquitin-like protein 4A,UBL4A,0.94924,0.96639
2434,"Pyruvate carboxylase, mitochondrial",PC,0.93834,0.97666
2435,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,0.98976,0.97541
2436,Cation-independent mannose-6-phosphate receptor,IGF2R,0.94962,0.95112
2437,Alcohol dehydrogenase class-3,ADH5,0.99253,1.0048
